itemid,title,image_path,Colour_group,Brand,Benefits,Product_texture,Skin_type,lang,numbers,nouns,ocr_result
180604102,smashbox light it up primer set,beauty_image/d0540e5ab676af23fc760e13b67522ae.jpg,3.0,,,,,en,unk,unk,inggnesian feller smoshbox noomes rrosz0 1700 d
183625229,skin aqua bb cream perfect matte spf 27,beauty_image/014ab88c691fa0648c3e626b9444dfbf.jpg,6.0,258.0,,8.0,6.0,en,27.0/dimensionless,skin aqua bb cream perfect matte,four skinaqua
184297642,urban decay de slick makeup setting spray oil control,beauty_image/cba31d8fcb8d5484d8c25fbbde9c9996.jpg,5.0,,,,,en,unk,unk,bornseauby id
186151511,kat von d shade light contour palette,beauty_image/d6bd5345e8a2fad332776c28658a0ebe.jpg,3.0,0.0,,,2.0,fr,unk,kat von d,
188620135,innisfree no sebum mineral powder,beauty_image/be09477043075bcb13f753ef59a17ba3.jpg,,205.0,,6.0,,en,unk,unk,
190010930,super bb cushion fresh matte maybelline,beauty_image/86296fe25677d4133662c881518f0da3.jpg,,282.0,,7.0,6.0,en,unk,bb cushion,new super cd cushion fresh matte m
192740847,oil controling make up spf 15,beauty_image/5473ec3021b34cf1bccc93b6b8392e60.jpg,6.0,161.0,,,,en,15.0/dimensionless,unk,oll controling makeup spf 15 mesbantu mengontrol dan memberikan hasil akhir yang matte mewbantu selindungi kulit dark kerusaken lingkungen dan tands tanda penuaan dini membantu aplikasi tata riss yang seapurna dan zerata oghesilkan nutrisi antuk kulit dan uplikesi yong halus don merata sebagai antioksidan dan k senutrisi kulit teruji klinis alergi dritasi dan dermatologis
193615491,keep in touch white bleending base cushion,beauty_image/7adccc6a95cf875544be1b0b5f877f24.jpg,,,22.0,7.0,,en,unk,unk,
196273919,travelsize laneige white plus renew original essence 10 ml,beauty_image/700e3844532ee8fd7fa9f599520c95ac.jpg,,375.0,22.0,,,en,10.0/cubic centimetre,unk,l q white pus renew ¥ original essence h laneige
199929231,foundation cream revlon,beauty_image/2d9f72af62a62401b374f4d1555946da.jpg,,47.0,,8.0,,en,unk,unk,
204648923,cream siang malam amos white,beauty_image/fb6e53b90fb4fab375d92bbf8b1861b9.jpg,,,22.0,8.0,7.0,en,unk,cream siang malam,néome amos white cream
207055937,natural skin,beauty_image/1d3666a7e5b0ece5d2d2882bc42e0708.jpg,1.0,289.0,17.0,8.0,,hr,unk,unk,
207404134,royal matte finish powder luxury yellow,beauty_image/b3ad776cd8db03da9e9b71ecb70ce9d4.jpg,,,27.0,6.0,,en,unk,royal matte,am nv “ £qu wa royal matte finish powder luxury yellow gi § nu ay jg mempesona zi mus amm mwwn som 25 mmmmﬁgmwm ‘ ﬂwwm toal ol 1 mm wﬂtmm s esatmu lebih bersinar \ roromendut budaya aan my sarees contis indonesia
213588274,theraskin compact powder kn kl original,beauty_image/9c80079b7ac126198962ef5c4e0935e5.jpg,,26.0,,6.0,,en,unk,powder kn,
214332962,deonard silver night cream,beauty_image/8a1343e91c5ac56cddcb4fac3b4fe895.jpg,,,10.0,8.0,,en,unk,unk,
219155504,bourjois loose powder poudre libre bedak,beauty_image/f06f563a8839053314ad90bcef05f387.jpg,,94.0,,6.0,0.0,af,unk,unk,eouk is dgs roudic libre loose powder
223105093,exlusive missha line friends m magic cushion moisture spf 50 pa paling murah,beauty_image/9f57c9f36fbbda655b46d5c8f7d145bf.jpg,6.0,91.0,,7.0,,en,50.0/pascal,missha line cushion moisture,e miss ha
224360285,it s my cushion case set white,beauty_image/25dd8de1d4a47f322e7167e31fd8c421.jpg,,,22.0,7.0,,en,unk,cushion case,
226559666,murah wet n wild powder brush,beauty_image/08cdcd03256ced4415514b93d1cda29c.jpg,1.0,5.0,,6.0,,af,unk,murah wet,
228737862,ms glow perfect bedak rp 120.000,beauty_image/d3a1b3988f0c5d790140e5bde3c2e123.jpg,,67.0,,6.0,,en,120.0/dimensionless,ms glow perfect bedak rp,ou ke s us ivory perfect glow loose powder memilikikandofigan whitening agent yang akan membuat kulit tampak lebih cerah dan shiny agent yang membuat kulit tampak lebih bersinar cocok untuk warna kulit putih dan kuning langsat bpom na18160400265 netto 208
234167055,stila star light bright highlighting palette,beauty_image/f469b5edfba2d0a3c7d018c60ea57809.jpg,3.0,202.0,,,,en,unk,unk,
237017511,contour stick city color,beauty_image/23ddc405e7880d347b0fca8e604d3507.jpg,,190.0,,1.0,,en,unk,unk,
240260747,laneige bb cushion pore control original korea,beauty_image/61e3da3055375588c2023420a66a867f.jpg,,375.0,,7.0,,it,unk,bb cushion,
241253233,oriflame the one bb cream bright perfect spf 30,beauty_image/1f58500dc85abe0ac6c03076dadb471e.jpg,6.0,220.0,,8.0,,en,30.0/dimensionless,bb cream,untuk kulit tampak mulus dan cerah 88 cream serba guna ini menjaga kult wajgh tampak cant dan cersh untuk tamplan walsh tampalk mulus setap han one s f shl the one 88 crom ign retser 20 i own wi am ron on in mien aren on worn maton maven on sven ese mon tint 1 199 000 a p
242634613,wardah renew you anti aging series,beauty_image/0cd0ea7718158006b40f5d3c17eccbe0.jpg,,77.0,,8.0,7.0,id,unk,wardah renew,
242723067,city color oil control matte setting spray 100 original by usa,beauty_image/8f7c7bdb7b242e5c93434002bb965e76.jpg,5.0,190.0,9.0,,,en,100.0/dimensionless,city color oil control matte,
251308915,cream temulawak v natural day,beauty_image/5014337bf212307e782841471c8da90b.jpg,1.0,4.0,17.0,8.0,,id,unk,cream temulawak,
251933643,laneige pore control bb cushion,beauty_image/fc19f677262ffb2783c6f2434204c7d2.jpg,4.0,375.0,22.0,7.0,,it,unk,unk,
254838672,theraskin compact powder,beauty_image/6455f927d798beddc68bc8f9b810b3c1.jpg,6.0,26.0,,6.0,,en,unk,unk,
260707846,nyx jumbo eye pencil original,beauty_image/dce858480feb798ba9c09a9fe262bc92.jpg,,157.0,,3.0,,es,unk,eye pencil,
267411494,moreskin day cream,beauty_image/e0032fb5d777b8f59398585bd8bc4e8d.jpg,1.0,59.0,17.0,8.0,,en,unk,unk,
274097190,bioaqua bb cream thin conceler,beauty_image/0de722519066762c6dd9bd8476c7b42d.jpg,,199.0,,8.0,,en,unk,bioaqua bb cream,bioaqua 02 1 ware reo bioaqua swam t
279097511,benefit sugarbomb powder blush 3g,beauty_image/c52a09fc6ae9b6fa7c1d5772f5dce3a8.jpg,1.0,237.0,,6.0,,da,3.0/gram,benefit sugarbomb powder blush,dilarang mencuri gambar ini collaged by unbasics cosmetics
293096019,etude house sunprise mild watery light,beauty_image/545509f2ca503d2fc148a78ad97a545d.jpg,3.0,73.0,,8.0,6.0,af,unk,etude house sunprise,
293739956,cream neo gamat emas nge reaksi cepat,beauty_image/5c868a8d4a48c152beb991a692ef41e7.jpg,,,3.0,8.0,,pt,unk,unk,
294501063,skinfood buckwheat loose powder 23 gr,beauty_image/4222bdcbb7bfebfc25d766f3bfe53e62.jpg,,247.0,,6.0,,en,23.0/dimensionless,skinfood buckwheat,
295083881,preloved laneige bb cushion milky way shade 13 ivory,beauty_image/00736f5b25c3bf50ad5c4a0dc6bc0041.jpg,,375.0,,7.0,,en,13.0/dimensionless,bb cushion,bb cushion whitening spf so pa
296448652,la tulipe cc cream,beauty_image/a2358bd5d143a40e416160ef2cea8a1a.jpg,,349.0,,8.0,,ro,unk,unk,
300229580,must have laneige bb cushion whitening pore control with case murah meriah,beauty_image/7a02e1b80430ee56e9f5264366df537e.jpg,,375.0,11.0,7.0,,en,unk,cushion whitening pore control,laneige
300677726,skinfood peach cotton multi finish powder 5 gr,beauty_image/0425682e0d250b8707c1b67ebaf1d980.jpg,,247.0,12.0,6.0,,en,5.0/dimensionless,skinfood peach cotton,
302121110,sulwhasoo perfecting brightening cushion limited edition case dan isi,beauty_image/906387a26e30c022f45366d5f5697ad7.jpg,,317.0,37.0,7.0,,en,unk,unk,sulwhasoo limited edition
304443680,loose powder ms glow,beauty_image/03b5c8fb3e91b102cd3b643c0b447be9.jpg,,67.0,,6.0,,af,unk,unk,ms glow canth
306204288,city color banana loose powder,beauty_image/ab9c52ff47d85cd1dffe939945cddb49.jpg,,190.0,27.0,6.0,,es,unk,city color,
309987324,make up beauty wanita wardah c defenese dd cream,beauty_image/b58d04f241cf73265563dfbc30d699a0.jpg,,77.0,,8.0,,en,unk,unk,
315548114,mufe make up for ever makeup forever pressed powder travel mini size preloved,beauty_image/40fc495680e75415b38ad4da5ced82f4.jpg,,249.0,,6.0,,da,unk,travel mini size,make up for ever rms photogrid
321651062,promo face toner cream kalimantan new packing black series,beauty_image/c6497644ceed4e08e0a4b974e2198a14.jpg,,,17.0,8.0,,en,unk,promo face toner cream,
323438806,share too faced born this way foundation porcelain dan natural beige 5ml,beauty_image/25cf906e3f350e31a92be6c90a70e476.jpg,1.0,,11.0,,,en,5.0/cubic centimetre,way foundation porcelain,
323703288,murah laneige skin veil base ex spf 22 pa 30 ml,beauty_image/6ffe94c0b5c89fbd548e78d8fb285bd2.jpg,6.0,375.0,27.0,,,no,22.0/pascal 30.0/cubic centimetre,murah laneige skin veil base ex,
338125953,snow white cream sunblock whitening foundation,beauty_image/2c0c39695ecefba68d599d1eb987afe3.jpg,,,22.0,8.0,,en,unk,unk,
343969795,bioaqua bb cream 30ml,beauty_image/f3da6a483cd5d49872a3bd9c0a8b33bd.jpg,5.0,199.0,,8.0,1.0,pt,30.0/cubic centimetre,bioaqua bb cream,cream bb caminann super wearna
374543229,cream hn crystal 25gram,beauty_image/cde1d2806bf91423b7565df7dc692e27.jpg,,343.0,,8.0,,en,25.0/gram,cream hn crystal,i hn crystal 25gr original emboss atas emboss bawah wajib c sort pak oat » ° a » sabinbusa bancak ketal \t a tone menyengat atz free tas cantik w a tdakemboss tu palsu
380475394,promo etude house face conditioning cream 75 gr,beauty_image/ff8cecb89faf1589210c3e49c536ccd2.jpg,,73.0,,8.0,,en,75.0/dimensionless,etude house face conditioning cream,eruo nouse « face gantﬂiﬁnmhy
386360834,laneige bb cushion pore control new limited edition with swarovski case isi,beauty_image/0d1e3b555147bed2623bdfa5e1050051.jpg,,375.0,11.0,7.0,,en,unk,bb cushion,
386928712,maybelline white superfresh liqiud powder,beauty_image/1deed919723694f2a44db2f0e847da0d.jpg,,282.0,22.0,6.0,,en,unk,unk,
386952431,diskon sale paket lengkap wardah white secret,beauty_image/516edc84892d917911f1418a3ffa2ef0.jpg,,77.0,22.0,8.0,,id,unk,sale paket lengkap,
388036123,dior cushion 010,beauty_image/9ae1895160c1e036f3df05318e9f3975.jpg,,1.0,,7.0,,en,10.0/dimensionless,unk,
392608049,cream dr pure bpom original,beauty_image/ea4e1efd0b96fe607580c26f5fa16875.jpg,,215.0,,8.0,,ro,unk,cream dr pure,
396320436,wardah c difense dd cream,beauty_image/5a64030122a1a12d55944e4e7637ba30.jpg,3.0,77.0,9.0,8.0,,cy,unk,unk,wardah c defense
400743562,ysl le cushion encre de peau fushion ink foundation 14gram,beauty_image/bc1876b4f4fff401901cf6be2ca01d99.jpg,,155.0,,7.0,4.0,en,14.0/gram,ysl le cushion fushion ink foundation,fusion int cushion 840
410991605,acne gel,beauty_image/d6083a14c0d7ac9148729fe9fb44b3b8.jpg,,,,5.0,5.0,nl,unk,unk,healthy skin d l
413679486,cream garnier susun siang dan malam,beauty_image/b6c195af0a93d4f0eaf6ad4eb539f555.jpg,3.0,83.0,,8.0,,id,unk,unk,
416397811,may cushion gold maybelline super bb spf 29,beauty_image/16fdf14755e6ee6fa9f1004bb00f668a.jpg,6.0,282.0,,7.0,,en,29.0/dimensionless,cushion gold maybelline super bb,glowy poreless perfection in just a tap tap superee cushion
416850187,too faced natural palette,beauty_image/c98fde703e0434bada535690ef68bc7b.jpg,1.0,,,,,it,unk,unk,
418643120,produk laris la girl pro concealer natural,beauty_image/b81d8c5fedb9f89b81b81416a99ae4a2.jpg,1.0,,,,,it,unk,produk laris,acor natural
422867041,facial wash acne skin theraskin fw,beauty_image/1085a87a461ce6001723d9fb3e5ba6a7.jpg,,26.0,9.0,,5.0,en,unk,unk,‘ 1her askin ‘ fadal wash facial wa facial for acns skin for 1 qu i vor actie ace wash rene youy 4 4 rene wan
423420237,maybelline v face duo stick highlighter contour 2 in 1 highlight medium natural slimmer look asli,beauty_image/e77b22daa8678f7a9d1e3110bdf5e36a.jpg,1.0,282.0,9.0,1.0,,en,2.0/dimensionless 1.0/dimensionless,maybelline v face duo highlighter contour highlight medium,
425726940,cream hn original no tipu,beauty_image/4867786e847de0d209634c05a2e7c945.jpg,,207.0,,8.0,7.0,it,unk,unk,
426885138,wardah everyday luminous liquid foundation 40 ml,beauty_image/354366c601a04b2be2382eec4d09eed5.jpg,,77.0,,2.0,,en,40.0/cubic centimetre,liquid foundation,
430730262,sapukelut suavecito hair clay warna warni pomade plus color,beauty_image/67208f1d32c1f44ac4b97d9d20bdfd0e.jpg,,364.0,9.0,,,en,unk,sapukelut suavecito hair clay warna warni pomade,
431463122,rimmel london stay matte pressed powder bedak 100 ori,beauty_image/2a82b571ca8150e7a250269405079ba9.jpg,1.0,246.0,,6.0,,en,100.0/dimensionless,rimmel london stay matte pressed powder bedak,aniwer stay matte stay matte aniwer stay matte a 001 transparent 003 natural 004 sandstorm 005 siky seige a a 5 amout a amout amout stay matto je stay matte stay matte m § k ccp us 011 creamy natural 012 buff beige 018 creamy seige 020 nude beige
432468575,etude house big cover concealer stick,beauty_image/dcb2fe2d3e0a903ce543d6a2dbd5e1b4.jpg,1.0,73.0,,1.0,,en,unk,etude house,ul 741 as 4a io ke etude 67 caql 74 wouse
435397802,blossom sunblock cocoa butter spf 100 226 gr,beauty_image/74369012532cfba648fcaa5282c7012f.jpg,6.0,,,8.0,,en,100.0/dimensionless 226.0/dimensionless,blossom sunblock cocoa butter,
439466014,make up for ever pro sculpting palette light laliloli,beauty_image/796841a4307440c7b7164787d81ac78e.jpg,3.0,249.0,,,,en,unk,unk,make up for ever sculpting palette
443088514,sale exp 06 2018 the face shop moisture cushion blush,beauty_image/0af74cdc737a909d6a6dd92ab6c5af86.jpg,,284.0,,7.0,,en,6.0/dimensionless 2018.0/dimensionless,sale exp,
443802057,preloved the balm frat boy,beauty_image/cd579433f6363a569f23e8e5d711a3f2.jpg,,127.0,,0.0,,en,unk,unk,
447045607,ertos cc cream whitening intensive treatment erto s,beauty_image/44748a9bd022be8dff4701b5953631e1.jpg,,30.0,,8.0,,en,unk,ertos cc cream,
450662485,skinova broad spektrum sunscreen spf 30,beauty_image/944357c52fb45899d7025cf31247e791.jpg,6.0,,,,,hr,30.0/dimensionless,unk,
454984580,peripera ink lasting mint cushion,beauty_image/01994bebe42f16b9ecb182a5e6a09dec.jpg,,50.0,,7.0,,en,unk,unk,flawless soft focus skinq ink lasting mint
455724481,loreal magic lumi light infusing primer,beauty_image/4ff2387c92c1bace4debadbee6fff82a.jpg,3.0,104.0,,,1.0,ro,unk,unk,
458897452,bedak marcks original,beauty_image/9d7502505ab6b66cc541e08207fd6467.jpg,3.0,165.0,,6.0,,id,unk,bedak marcks,
459864270,glubela fleecy strawberry drink powder original,beauty_image/043be990a73b36891d667286565d5acc.jpg,,143.0,,6.0,7.0,en,unk,glubela fleecy strawberry,
460243340,secret key 24k gold premium first cream 50g whitening original,beauty_image/a5167692bd3c405796f055b13294f119.jpg,,337.0,,8.0,,en,24.0/kilobyte 50.0/gram,gold premium,irakigold premium first creal 8 kinds of concentrated care moksturizing wrinkle improvement 5 dad balance
461939455,etude house ac clean up cushion,beauty_image/32470adb0071348dd04cb5630acb3e7a.jpg,,73.0,,7.0,,en,unk,etude house ac,
464313017,preloved city color contour correct cream,beauty_image/cf8854aa5b30b64ca4b48bd7372ffd4b.jpg,3.0,190.0,42.0,8.0,,en,unk,unk,
476110197,cc cream oriflame,beauty_image/480c46585198d04ef5d73661315e5485.jpg,,220.0,,8.0,,ro,unk,unk,pertama di oriflame cc cream perpaduan make up dan perawatan kulit j \ ‘ tanptienh antl f gortin go cc cram s7 35 hentantu nlontatan teste ran d corerge ang uk s f ® orbaar i corp e ‘ c ser as 5 ¥ be garin ga cc cw tt 2s m mere wn irtmon nn np175 000 to
477408222,emina cream blush,beauty_image/f30f8b5b152e2748b0d099defb006793.jpg,,48.0,,8.0,,en,unk,unk,emma lt ceeam blush \q a ‘ \ pink \ \ u peach emnd tenind p l u a \ pial
479854804,bedak padat batik oriflame,beauty_image/0083427eb45d42587937f72703aecd1a.jpg,3.0,220.0,9.0,6.0,,id,unk,unk,
485260736,make over camouflage cream concealer,beauty_image/32987898531a999f58a729db4a68697a.jpg,,146.0,,8.0,,en,unk,unk,make over camouflage cream face concealer
488007858,the balm shading concealer 4in1,beauty_image/13b2f524ebdeaa5f8f4fe32130bf7732.jpg,,127.0,,0.0,,en,4.0/inch,balm shading concealer,
488840081,laneige bb cushion pore control whitening fullset,beauty_image/ae19c2dbd337e381bde22f7dd874be4e.jpg,,375.0,,7.0,,en,unk,bb cushion,laneige bb cushion pore control spfso pa serv matt 88 cushion laneige ushion whitening spfso pa whitening bb cushion provides uitimate bright clear skin
498619457,skinfood peach sake silky finish powder,beauty_image/15fbe05e03fa9ad5feb4ca20890e6c45.jpg,,247.0,12.0,6.0,,en,unk,skinfood peach sake,ux px
503160227,reffil wardah luminious compact powder,beauty_image/0f61267ab17de5b928bfdf826e2b4374.jpg,,77.0,,6.0,,en,unk,unk,
503901729,white secret night cream,beauty_image/b5862d17424b47622c36694d1028fe31.jpg,,,22.0,8.0,,en,unk,unk,white secret night cream tube 17 ml wa rdéhw krim pencerah wajah dengan crystal white active advanced white white secret spesific system dan derma peptide technology efektif bekerja pada night cream malam hari untuk menghambat proses eum pembentukan melanin melembabkan sekaligus membantu mencerahkan kulit untuk wajah yang tampak sebening kristal matin lij
504261144,skinfood peach cotton base,beauty_image/93ae99c3653d96325eeced4e7394b862.jpg,4.0,247.0,12.0,,,en,unk,unk,éﬁ k ’ iﬁ ’ foéa peach cotton base® « tone twmoture
505052265,innisfree no sebum mineral powder,beauty_image/e14b00010a3aaa94012ec83d515f3c05.jpg,,205.0,,6.0,,en,unk,unk,
505067580,inez 900 lustrous pressed powder,beauty_image/30ef5b4adaccc40292174e654706a3b5.jpg,,109.0,,6.0,,en,900.0/dimensionless,unk,www
510254673,elf tinted moisturizer spf 20 porcelain 83221,beauty_image/3eec1cc5b3d933ad9c77ad3a3f24e644.jpg,6.0,,,,,en,20.0/dimensionless 83221.0/dimensionless,tinted moisturizer spf,
511091285,kosmetik wardah renew you anti aging intensive serum 17ml murah&halal,beauty_image/300f338d414b6839b425aa1261aa285d.jpg,3.0,77.0,,,7.0,id,17.0/cubic centimetre,unk,
513273024,maybelline v face duo powder,beauty_image/4807deb9a2ce1b50ac85d134fad77300.jpg,,282.0,,6.0,4.0,it,unk,unk,
515074534,wardah hydrating moisturizer cream,beauty_image/7105371c347d81b38c2901eb38e3ce4e.jpg,2.0,77.0,,8.0,0.0,en,unk,unk,
517063678,new bedak revlon original konter,beauty_image/92f9199755aad29508d2f8165d2d9092.jpg,,47.0,9.0,6.0,,af,unk,bedak revlon,y s mpa a new complexion® 2 way rounoation seras
517705415,lt pro dual function powder single,beauty_image/5a24d546a889c77b3fd60dcbc99f160f.jpg,3.0,260.0,,6.0,,en,unk,function powder,
524973225,promo the face shop oil clear smooth bright pact make up wajah,beauty_image/686ed456535f2a5d69998f7cedc7b5c2.jpg,,284.0,24.0,,,en,unk,face shop oil,2 aofe won oprst ume o ee o msqisetn wor op7 nve ofa wot me
525680380,cream hn original,beauty_image/e7a9828f2fb393252a2989d1d4a8c3c1.jpg,,207.0,17.0,8.0,,en,unk,cream hn,
526267640,ready whoo gongjinhyang mi luxury bb cream spf 20 make up wajah,beauty_image/14d3feb541b2efbf24290748e67288ca.jpg,6.0,,,8.0,,en,20.0/dimensionless,whoo gongjinhyang luxury bb cream,
526333299,hot item maybelline super bb cushion fresh matte make up wajah,beauty_image/56ace8db801b49cc4232136c4c072729.jpg,,282.0,,7.0,,en,unk,bb cushion,maybe l l n f super bb cushion fresh mate a
526374726,ready caring colours bedak tabur uv white microfine loose powder make up wajah,beauty_image/8ec206218253de5c436f872fcfec0fa7.jpg,1.0,,22.0,6.0,,en,unk,caring colours,
526433696,new jafra advanced dynamics hydrating night krim malam kulit kering perawatan wajah,beauty_image/ef84987f996d8862c9b3b51e95bf8bda.jpg,2.0,161.0,,,0.0,id,unk,jafra advanced dynamics hydrating night krim,z ll bs erema tack 1 ine l 0z us
532846000,sarange bogosipo natural finisher pact,beauty_image/b9a917d20c63acc55f4ecb3f0194190b.jpg,1.0,,,,,en,unk,unk,
534814752,personal beauty tr1 gel acne,beauty_image/acffd073fecf49de794d1a08d219e735.jpg,,,,5.0,5.0,en,unk,unk,
545542684,baru nature republic aloe vera 92 soothing moisture gel 300 ml,beauty_image/3da13a929e5d435321d7ec5602efefe1.jpg,,383.0,,5.0,,ro,92.0/dimensionless 300.0/cubic centimetre,aloe vera,€ 2
546364558,ysl cc cream rose 5ml,beauty_image/005120c3ee2dbead42c1cec6cb0cf619.jpg,3.0,155.0,20.0,8.0,,en,5.0/cubic centimetre,ysl cc cream,
548891953,paling laris normal paket glansie original cream beauty care dr fajar,beauty_image/75d39991c3b5b91661fa98d51f68a1da.jpg,,296.0,9.0,8.0,4.0,en,unk,paling laris paket glansie,mooeectd gl
549814597,sulwhasoo makeup balancer spf 25 pa diskon,beauty_image/ed476eeef4d7c52c4ac1fd8488abcc71.jpg,6.0,317.0,16.0,6.0,7.0,id,25.0/pascal,makeup balancer,
556300081,wardah exclusif liquid foundation,beauty_image/b8515a63c752e021f8c87883e06fbaaf.jpg,,77.0,,2.0,,en,unk,unk,
561438510,marcks bedak,beauty_image/bc3bd662c716792359311f50329c0e9a.jpg,,165.0,,6.0,5.0,id,unk,unk,
563016938,giordani gold cc cream spf 35 oriflame,beauty_image/e97b14ded3e998486f5a87ba0847f62c.jpg,6.0,220.0,,8.0,,cy,35.0/dimensionless,giordani gold cc cream,°ertama di oriflame c cream erpaduan make up dan erawatan kulit u ampl ebh cant dengan rordani gold cc cream spf 35 bint melembablan teistur ngan dan coverage yang baie e cc cream spr as m am ronin gold cc cram stf 35 imidon nites an permis rprrtnee ropean nam bags eovene primi ot noche mul tenn an sam s in ’ 14249 000 rp175 000 3
566143826,wet n wild megaglo illuminating powder catwalk pink,beauty_image/adf291de85898aec8320ebc19014fd82.jpg,,5.0,37.0,6.0,,en,unk,unk,
569357194,make over sparkling powder 2gr glitter,beauty_image/bbabd4dc3207720d6a737b097bc4ee72.jpg,,146.0,10.0,6.0,,no,2.0/dimensionless,sparkling powder,
569401803,etude house big cover cushion concealer,beauty_image/bdb372fa38720e3083f63e2248fe60d9.jpg,,73.0,,7.0,,en,unk,etude house,coven cusuion 3 cusnion coven cusnion coven cover cusuion
571196832,bedak age s 20 edisi biru set,beauty_image/d94b7dd9593f2277b26a65923b728c69.jpg,,,15.0,6.0,,id,20.0/dimensionless,bedak age,
574607969,pure natural face powder luxury white,beauty_image/8cab8b4cc365cf88b13f26a1b1a95bec.jpg,1.0,,22.0,6.0,3.0,en,unk,face powder luxury,f ” wk ac pure natural face powder luxury white comic ia « ro jangan pernah tergiur dan membeli roro mendut yang dijual lebih murah dari harga resmi diatas sayangi kulit dan kesehatan anda belilah produk asli dengan harga resmi diseller terpercaya cp sut 5 c murah palsu kadaluarsa 2 108 v a al ny
576643452,etude house precious mineral bb cream matte,beauty_image/0330308ec627539a2c6b61db3a7b8b78.jpg,,73.0,,8.0,,en,unk,etude house,om a aci eath min xy
578161919,laneige bb cushion spf 50,beauty_image/f8a21ca6d6a17dba9d773651303455e7.jpg,6.0,375.0,,7.0,6.0,en,50.0/dimensionless,bb cushion,
584718662,laneige forever definite compact foundation spf32 true beige,beauty_image/0026d0ab6dddbc0794daa18933037a8f.jpg,,375.0,11.0,,,en,unk,foundation spf32,
591468931,loose powder focallure,beauty_image/4f5c4fc5ade8d20fbd9cd8c5a292b465.jpg,,321.0,,6.0,,en,unk,unk,
591557752,makeover sparkling powder,beauty_image/c10dfb1f027e273d2c81ec15bfede0d4.jpg,4.0,146.0,,6.0,,no,unk,unk,
595130181,cream qweena normal untuk kulit,beauty_image/fb14cc55c63118cd02adc885a98b6dc2.jpg,,,,8.0,4.0,en,unk,cream qweena,
598550829,daycream msglow cream pagi untuk paket whitening acne flek,beauty_image/339536092881bed12fa8e52d8a08eb97.jpg,,67.0,,8.0,5.0,id,unk,daycream msglow cream pagi,wm dangm mengcover kekurangan dikulit node por melindungi kulit dari sinar matahari selama 3 4 jam mengandung spf 30 memberikan efek glowing dengan kandungannyo merawat kult agar selalu sehat dan cerch ringan berbahan non comedogenic
603313201,jafra cream concelear light,beauty_image/52340bf7875f61dc1266950085b6abc8.jpg,3.0,161.0,,8.0,,en,unk,unk,
603424705,the balm contour,beauty_image/d4d69311b3a872af9aecf83e600ffbaf.jpg,,127.0,,0.0,,en,unk,unk,
604519732,wardah luminous liquid foundation,beauty_image/238e31d3486fd2ee17d776176646049c.jpg,,77.0,,2.0,6.0,en,unk,unk,me
612327735,preloved mizzu glam rock cushion,beauty_image/40072a5e5d1da0e2e2cfb5392da5c27d.jpg,,72.0,,7.0,,hr,unk,unk,
617323563,skin79 powder all day sun loose spf 30 diamond col,beauty_image/a86b25ea3e4de9a82c6581f80006f032.jpg,6.0,,,6.0,6.0,it,30.0/dimensionless,unk,
